strategy,candidate,n_runs,fraction_mean,ci95_low,ci95_high
uniform,safe_distance,13,0.25,0.25,0.25
ocba,safe_distance,13,0.40448717948717944,0.3956923076923076,0.41328205128205125
adapted_ocba,safe_distance,13,0.40128205128205136,0.37252150595021954,0.43004259661388317
uniform,risk_aware,13,0.25,0.25,0.25
ocba,risk_aware,13,0.4057692307692307,0.395408606376653,0.41612985516180845
adapted_ocba,risk_aware,13,0.4166666666666667,0.4067074192208699,0.4266259141124635
uniform,deceptive,13,0.25,0.25,0.25
ocba,deceptive,13,0.10384615384615384,0.0948589408294028,0.11283336686290488
adapted_ocba,deceptive,13,0.10897435897435896,0.08035595511133953,0.1375927628373784
uniform,bad,13,0.25,0.25,0.25
ocba,bad,13,0.0858974358974359,0.07796777166487767,0.09382710012999412
adapted_ocba,bad,13,0.07307692307692307,0.06848916148414476,0.07766468466970138
