strategy,factual_rank,n_runs,fraction_mean,ci95_low,ci95_high
uniform,1,13,0.25,0.25,0.25
ocba,1,13,0.40512820512820513,0.39457884710815916,0.4156775631482511
adapted_ocba,1,13,0.40448717948717944,0.3785551639849496,0.4304191949894093
uniform,2,13,0.25,0.25,0.25
ocba,2,13,0.40512820512820513,0.39654528910201675,0.4137111211543935
adapted_ocba,2,13,0.41346153846153844,0.39676183419091504,0.43016124273216183
uniform,3,13,0.25,0.25,0.25
ocba,3,13,0.09358974358974358,0.08343430039322862,0.10374518678625853
adapted_ocba,3,13,0.08717948717948718,0.07415274838060182,0.10020622597837253
uniform,4,13,0.25,0.25,0.25
ocba,4,13,0.09615384615384616,0.08661284612401998,0.10569484618367234
adapted_ocba,4,13,0.09487179487179485,0.06542422578697091,0.1243193639566188
